Assessment_ID,Intake_Proficiency_Score,Intake_Applications_Score,Outcome_Proficiency_Score,Outcome_Applications_Score
A15418,0.295,0.427,0.779,0.671
X53887,0.489,0.361,0.764,0.591
X38342,0.598,0.493,0.755,0.772
D79095,0.321,0.186,0.804,0.789
P59706,0.689,0.493,0.827,0.695
D19348,0.775,0.538,0.921,0.634
P34935,0.22,0.314,0.406,0.503
P68316,0.469,0.391,0.723,0.714
P64571,0.478,0.432,0.785,0.779
D39156,0.489,0.426,0.759,0.715
S51787,0.506,0.374,0.661,0.626
X38700,0.151,0.26,0.311,0.393
P11912,0.634,0.536,0.734,0.691
D54694,0.33,0.177,0.861,0.839
X85813,0.502,0.416,0.794,0.763
S78194,0.589,0.526,0.787,0.753
S46116,0.565,0.497,0.681,0.64
D96124,0.2,0.097,0.966,1.0
P49550,0.252,0.208,0.552,0.398
S44638,0.622,0.553,0.726,0.785
P24060,0.255,0.253,0.488,0.542
S18327,0.251,0.207,0.497,0.543
P54377,0.499,0.393,0.717,0.655
D63600,0.194,0.069,0.27,0.357
D50526,0.184,0.176,0.568,0.515
A27763,0.598,0.374,0.8,0.703
D24672,0.22,0.192,0.544,0.455
P91863,0.862,0.588,0.936,0.699
A56917,0.28,0.322,0.375,0.664
D15488,0.609,0.339,0.796,0.783
S81083,0.256,0.163,0.728,0.924
A77326,0.58,0.391,0.805,0.743
P87648,0.578,0.428,0.691,0.641
P51867,0.319,0.228,0.719,0.793
S94795,0.471,0.451,0.856,0.808
S66694,0.233,0.161,0.891,0.956
A83718,0.57,0.361,0.767,0.533
D17485,0.483,0.406,0.797,0.768
P98369,0.121,0.278,1.0,0.939
S62275,0.697,0.511,0.78,0.725
P84350,0.28,0.23,0.885,0.679
D62412,0.478,0.458,0.754,0.77
D97904,0.428,0.379,0.649,0.615
S85540,0.528,0.494,0.848,0.743
A31363,0.304,0.384,0.53,0.823
P43092,0.653,0.461,0.785,0.67
X56619,0.658,0.627,0.79,0.768
X24343,0.687,0.611,0.815,0.719
D18847,0.504,0.419,0.685,0.808
P95868,0.61,0.462,0.723,0.701
P10526,0.252,0.232,0.354,0.375
D73572,0.244,0.226,0.571,0.413
S91334,0.489,0.188,0.715,0.788
A39135,0.146,0.179,0.416,0.231
P64860,0.188,0.225,0.331,0.375
A59820,0.42,0.231,0.746,0.791
X11728,0.774,0.685,0.866,0.863
A19279,0.509,0.406,0.726,0.674
A94953,0.355,0.241,0.706,0.712
P47697,0.257,0.174,0.479,0.509
A66390,0.605,0.602,0.814,0.759
D53483,0.537,0.454,0.677,0.665
A79887,0.698,0.551,0.813,0.679
P51613,0.205,0.244,0.561,0.5
X76836,0.307,0.302,0.612,0.541
S10095,0.189,0.182,0.519,0.47
S30771,0.264,0.209,0.853,0.723
X12503,0.637,0.511,0.773,0.558
D86196,0.284,0.204,0.8,0.772
P66426,0.22,0.14,0.461,0.34
X24511,0.588,0.599,0.834,0.729
S34289,0.748,0.689,0.888,0.888
P34691,0.613,0.465,0.721,0.691
P83239,0.211,0.085,0.432,0.426
S27169,0.914,0.651,0.965,0.851
X75656,0.479,0.391,0.686,0.623
X48999,0.212,0.202,0.31,0.312
P10201,0.301,0.224,0.845,0.756
A17731,0.728,0.552,0.809,0.678
A82103,0.54,0.496,0.786,0.84
A41672,0.512,0.307,0.815,0.722
D95803,0.498,0.411,0.797,0.726
X58522,0.247,0.252,0.81,0.766
S74163,0.508,0.349,0.817,0.685
X13044,0.429,0.291,0.856,0.776
P50998,0.66,0.503,0.815,0.752
S49982,0.27,0.175,0.437,0.297
A63921,0.501,0.395,0.771,0.76
X26565,0.461,0.335,0.814,0.685
D17516,0.485,0.316,0.709,0.542
P18747,0.398,0.385,0.696,0.78
A67455,0.467,0.406,0.766,0.767
D52263,0.117,0.209,0.831,0.948
X18255,0.204,0.171,0.236,0.307
X37851,0.177,0.272,0.513,0.436
S33836,0.163,0.183,1.0,0.828
P89399,0.292,0.174,0.578,0.577
P82255,0.484,0.41,0.847,0.712
S94903,0.296,0.209,0.82,0.769
X96518,0.508,0.403,0.783,0.623
A16717,0.581,0.525,0.756,0.624
A91955,0.173,0.256,0.531,0.606
A31938,0.498,0.434,0.815,0.744
S64609,0.451,0.434,0.783,0.744
A25818,0.194,0.243,0.437,0.253
S50935,0.622,0.556,0.842,0.805
S10930,0.559,0.342,0.866,0.704
S12681,0.415,0.37,0.656,0.596
D77824,0.284,0.168,0.73,0.811
D93974,0.582,0.616,0.8,0.667
A79773,0.727,0.513,0.853,0.709
S20440,0.285,0.429,0.557,0.626
P64337,0.638,0.49,0.784,0.722
P54604,0.269,0.208,0.38,0.477
A40273,0.242,0.251,0.433,0.319
P77172,0.285,0.259,0.647,0.663
S71910,0.195,0.206,0.581,0.547
D82542,0.673,0.526,0.802,0.653
P91737,0.258,0.199,0.596,0.619
D60074,0.201,0.289,0.494,0.77
D68487,0.372,0.237,0.925,0.699
D96045,0.222,0.313,0.549,0.56
X50605,0.508,0.393,0.728,0.773
A98086,0.182,0.182,0.605,0.525
X54605,0.517,0.279,0.862,0.625
S61638,0.351,0.283,0.773,0.824
D70538,0.401,0.481,0.615,0.646
D16625,0.245,0.306,0.327,0.54
P81097,0.23,0.214,0.507,0.481
P24777,0.53,0.366,0.707,0.624
P28909,0.723,0.739,0.893,0.894
P54567,0.357,0.365,0.716,0.729
P32701,0.596,0.474,0.756,0.715
S13759,0.257,0.225,0.45,0.275
S85000,0.519,0.356,0.789,0.775
D80993,0.458,0.435,0.74,0.772
P26050,0.315,0.147,0.895,0.761
X85672,0.719,0.445,0.809,0.75
S51783,0.442,0.381,0.742,0.654
D20935,0.657,0.583,0.742,0.702
S52608,0.487,0.355,0.696,0.712
X24272,0.647,0.432,0.788,0.701
S84256,0.252,0.151,0.317,0.314
D76278,0.686,0.505,0.844,0.741
D19475,0.318,0.281,0.965,0.838
P48467,0.246,0.172,0.444,0.52
X59420,0.55,0.391,0.844,0.737
P20319,0.461,0.403,0.606,0.562
P68504,0.111,0.154,0.236,0.395
S44838,0.845,0.773,0.913,0.921
P76093,0.32,0.237,0.766,0.897
P57978,0.675,0.565,0.794,0.763
D55441,0.251,0.288,0.861,0.774
D42072,0.181,0.317,0.514,0.521
X87771,0.154,0.203,0.391,0.465
A19845,0.335,0.246,0.789,0.546
D44513,0.145,0.195,0.642,0.453
S40179,0.255,0.143,0.641,0.638
A87568,0.166,0.253,0.854,0.793
S96641,0.522,0.396,0.84,0.652
X71658,0.379,0.155,0.753,0.683
P34760,0.575,0.527,0.738,0.715
X87790,0.27,0.204,0.458,0.219
P20812,0.255,0.171,0.572,0.478
A43901,0.333,0.199,0.83,0.74
X83494,0.588,0.467,0.779,0.803
P52942,0.668,0.452,0.805,0.7
S86479,0.496,0.397,0.846,0.757
X10882,0.422,0.383,0.879,0.741
D93867,0.217,0.232,0.487,0.401
P85199,0.198,0.202,0.529,0.542
A49200,0.247,0.264,0.477,0.397
A68418,0.472,0.43,0.768,0.783
P92039,0.447,0.52,0.817,0.686
P95923,0.594,0.457,0.728,0.718
S61535,0.625,0.422,0.76,0.677
S22005,0.504,0.595,0.649,0.759
P77827,0.815,0.696,0.888,0.819
S26615,0.601,0.398,0.856,0.702
A71264,0.517,0.429,0.84,0.807
A93181,0.528,0.429,0.76,0.73
A87500,0.193,0.265,0.567,0.561
S39394,0.266,0.292,0.692,0.644
S27307,0.502,0.47,0.787,0.603
S31111,0.415,0.279,0.858,0.73
P43850,0.608,0.543,0.734,0.717
X97753,0.63,0.548,0.728,0.666
D79399,0.221,0.202,0.745,0.7
X36203,0.172,0.212,1.0,0.959
P59076,0.449,0.317,0.718,0.696
A97047,0.35,0.355,0.621,0.542
D10978,0.638,0.524,0.816,0.73
D51380,0.428,0.354,0.78,0.554
P53696,0.424,0.434,0.678,0.721
A95764,0.408,0.421,0.63,0.486
X31297,0.621,0.569,0.778,0.762
A25618,0.526,0.503,0.767,0.771
P63588,0.571,0.465,0.758,0.666
D88304,0.178,0.222,0.292,0.234
S95005,0.821,0.717,0.906,0.87
A67617,0.279,0.171,0.772,0.736
S25387,0.49,0.36,0.84,0.814
P87099,0.251,0.242,0.681,0.719
P35130,0.261,0.258,0.871,0.807
P61477,0.584,0.548,0.788,0.751
D75298,0.229,0.236,0.536,0.474
P44687,0.24,0.166,0.649,0.835
X12953,0.23,0.061,0.428,0.247
S55989,0.218,0.15,0.831,0.734
P26514,0.099,0.222,0.505,0.439
X93718,0.5,0.535,0.765,0.77
P81865,0.651,0.551,0.762,0.771
P95119,0.219,0.168,0.61,0.499
A81497,0.492,0.503,0.697,0.771
D93470,0.69,0.503,0.817,0.694
X86093,0.301,0.177,0.532,0.404
P84366,0.24,0.141,0.467,0.487
X80041,0.669,0.58,0.795,0.762
P78235,0.497,0.427,0.783,0.926
P80941,0.589,0.578,0.766,0.762
A16900,0.336,0.508,0.788,0.859
D82349,0.243,0.195,0.877,0.704
P61505,0.421,0.357,0.74,0.678
A74096,0.54,0.42,0.728,0.688
X56047,0.446,0.393,0.796,0.732
A14642,0.581,0.451,0.799,0.694
X52589,0.209,0.242,0.576,0.546
P91520,0.093,0.274,0.36,0.553
S96717,0.186,0.174,0.46,0.504
A12571,0.526,0.393,0.76,0.73
S33955,0.561,0.43,0.818,0.752
S85388,0.462,0.407,0.697,0.651
A44305,0.209,0.202,0.372,0.403
D24784,0.831,0.745,0.895,0.86
A15410,0.315,0.298,0.785,0.795
A53856,0.465,0.35,0.674,0.538
S22757,0.793,0.708,0.929,0.892
D97012,0.574,0.319,0.712,0.656
D76840,0.438,0.283,0.863,0.88
D78733,0.626,0.486,0.712,0.699
D31019,0.666,0.647,0.793,0.767
S97046,0.285,0.151,0.465,0.228
X43058,0.508,0.344,0.786,0.732
S79547,0.464,0.42,0.766,0.741
S26930,0.455,0.338,0.831,0.827
S63544,0.659,0.431,0.87,0.592
P77692,0.274,0.175,0.77,0.82
P19838,0.396,0.421,0.72,0.757
P41808,0.195,0.147,0.792,0.669
A56837,0.174,0.313,0.407,0.45
S46105,0.768,0.623,0.882,0.787
D96629,0.13,0.219,0.643,0.687
S36953,0.173,0.187,0.455,0.406
X26402,0.608,0.524,0.8,0.673
D22168,0.312,0.283,0.535,0.436
A33847,0.68,0.514,0.78,0.651
S49921,0.446,0.288,0.777,0.504
A55368,0.661,0.551,0.839,0.799
S25181,0.236,0.141,0.54,0.423
D99041,0.52,0.415,0.756,0.727
D59535,0.579,0.512,0.685,0.855
D25478,0.226,0.249,0.451,0.346
D20424,0.561,0.392,0.786,0.669
P40877,0.403,0.537,0.787,0.791
P14908,0.742,0.493,0.791,0.705
S84647,0.246,0.182,0.432,0.443
S25456,0.273,0.19,0.449,0.4
X34394,0.213,0.174,0.867,0.717
D46049,0.69,0.643,0.865,0.778
D33296,0.615,0.543,0.791,0.663
A87492,0.243,0.255,0.481,0.264
S46505,0.674,0.515,0.821,0.757
P75568,0.606,0.502,0.781,0.699
X49441,0.232,0.2,0.898,0.739
A11384,0.688,0.563,0.812,0.75
P93879,0.591,0.409,0.809,0.683
X63241,0.624,0.541,0.764,0.741
P94718,0.677,0.461,0.825,0.622
P66911,0.559,0.418,0.713,0.693
D82590,0.662,0.631,0.834,0.882
P98480,0.444,0.447,0.623,0.642
P17868,0.174,0.2,0.558,0.514
P85095,0.507,0.386,0.701,0.72
A70110,0.465,0.486,0.765,0.725
A40177,0.767,0.521,0.863,0.702
A82528,0.493,0.391,0.745,0.787
P48171,0.558,0.516,0.689,0.708
P12158,0.206,0.185,0.323,0.059
S22165,0.436,0.297,0.632,0.641
X48992,0.471,0.601,0.856,0.833
D98228,0.277,0.229,0.855,0.839
D80676,0.597,0.516,0.688,0.735
X73505,0.324,0.149,0.881,0.874
P21387,0.711,0.372,0.848,0.593
S11662,0.3,0.278,0.567,0.623
A84243,0.522,0.442,0.817,0.743
A78046,0.232,0.182,0.623,0.441
A47736,0.228,0.169,0.536,0.484
A29529,0.221,0.337,0.648,0.544
D87879,0.605,0.451,0.733,0.634
X96926,0.22,0.294,0.884,0.836
A58327,0.519,0.409,0.839,0.755
P73765,0.444,0.398,0.734,0.691
S83801,0.391,0.303,0.859,0.759
A71879,0.23,0.167,0.307,0.341
S50494,0.663,0.587,0.788,0.679
X58692,0.609,0.476,0.748,0.716
P66262,0.247,0.136,0.469,0.369
S95196,0.671,0.448,0.781,0.684
S91958,0.547,0.389,0.809,0.713
P51626,0.519,0.437,0.735,0.78
D34943,0.252,0.121,0.805,0.674
D83746,0.556,0.464,0.774,0.604
P20547,0.476,0.371,0.753,0.625
D76090,0.232,0.236,1.0,0.944
S27234,0.563,0.291,0.841,0.684
A68089,0.44,0.373,0.797,0.502
P62472,0.62,0.435,0.816,0.615
X74429,0.316,0.197,0.723,0.703
S27957,0.591,0.495,0.806,0.812
S89906,0.137,0.269,0.405,0.338
D12405,0.316,0.222,0.818,0.649
X24076,0.459,0.492,0.638,0.75
D63090,0.444,0.344,0.771,0.799
S15758,0.22,0.24,0.485,0.496
P38453,0.525,0.415,0.734,0.784
S19840,0.619,0.484,0.743,0.616
S16610,0.259,0.205,0.672,0.66
P91307,0.701,0.502,0.858,0.753
X28567,0.392,0.198,0.795,0.722
S69102,0.527,0.317,0.784,0.696
X64753,0.295,0.36,0.678,0.849
P86620,0.355,0.306,0.857,0.9
X84652,0.427,0.286,0.86,0.691
D52484,0.299,0.177,0.738,0.616
A89873,0.419,0.352,0.683,0.689
X11686,0.572,0.505,0.768,0.72
A86895,0.463,0.382,0.768,0.809
A73931,0.637,0.624,0.846,0.812
A45034,0.146,0.247,0.426,0.2
D20679,0.214,0.28,0.394,0.613
X31204,0.419,0.346,0.896,0.723
A94268,0.316,0.489,0.581,0.742
D17554,0.245,0.174,0.472,0.378
D10028,0.474,0.396,0.823,0.774
X25261,0.798,0.765,0.885,0.933
X97964,0.307,0.162,0.797,0.664
X16377,0.464,0.36,0.699,0.722
P15650,0.634,0.371,0.803,0.77
S22807,0.422,0.46,0.82,0.805
D16730,0.48,0.387,0.771,0.713
D25068,0.621,0.516,0.711,0.708
S65426,0.093,0.166,0.37,0.281
P96046,0.53,0.469,0.768,0.731
D12477,0.572,0.447,0.68,0.752
D30829,0.23,0.224,0.812,0.889
X94338,0.559,0.403,0.795,0.63
X78882,0.748,0.529,0.839,0.725
X80340,0.647,0.498,0.784,0.65
X56860,0.271,0.148,1.0,0.749
D29711,0.477,0.362,0.749,0.733
D27999,0.809,0.589,0.894,0.766
X90382,0.612,0.486,0.826,0.739
A84405,0.546,0.529,0.857,0.717
A27258,0.212,0.147,0.871,0.722
P62207,0.329,0.238,0.818,0.759
X74575,0.207,0.101,0.655,0.63
X28790,0.227,0.164,0.944,1.0
S57851,0.569,0.449,0.844,0.756
A64051,0.575,0.446,0.796,0.615
P78259,0.504,0.308,0.775,0.759
A47550,0.31,0.246,0.88,0.728
X94286,0.42,0.358,0.738,0.647
P54226,0.306,0.171,0.704,0.923
S90834,0.685,0.507,0.811,0.754
P19887,0.169,0.202,0.482,0.442
X14481,0.267,0.232,0.834,0.645
A33518,0.548,0.43,0.764,0.655
D37787,0.499,0.346,0.69,0.713
X16952,0.188,0.165,1.0,0.871
A94321,0.422,0.426,0.681,0.674
D14103,0.278,0.289,0.62,0.527
D12660,0.363,0.221,0.927,0.649
A13866,0.553,0.408,0.79,0.787
A43937,0.291,0.195,0.693,0.558
S11694,0.534,0.358,0.802,0.63
P71593,0.799,0.646,0.942,0.833
D67504,0.547,0.492,0.812,0.729
A18816,0.427,0.416,0.736,0.816
D80612,0.497,0.372,0.695,0.649
D32009,0.384,0.307,0.757,0.692
D43186,0.641,0.55,0.786,0.722
P99575,0.571,0.542,0.791,0.635
D82920,0.153,0.14,0.434,0.518
D49469,0.491,0.41,0.776,0.765
P80274,0.659,0.524,0.743,0.718
S11758,0.247,0.276,0.841,0.937
A15762,0.204,0.246,0.503,0.487
X73044,0.174,0.154,0.412,0.237
S71795,0.229,0.156,0.683,0.701
P16709,0.524,0.426,0.73,0.724
S68496,0.766,0.596,0.88,0.767
A42582,0.165,0.116,0.599,0.522
S86916,0.646,0.567,0.809,0.683
A59412,0.773,0.683,0.93,0.847
X81451,0.187,0.32,0.515,0.456
X63899,0.831,0.689,0.921,0.885
P91494,0.198,0.277,0.81,0.842
X21541,0.672,0.648,0.85,0.803
X15461,0.266,0.269,0.711,0.727
A74339,0.199,0.235,0.505,0.425
P99484,0.575,0.474,0.742,0.616
D32313,0.154,0.249,0.204,0.199
P22464,0.579,0.39,0.81,0.738
A24071,0.384,0.421,0.722,0.691
D99133,0.798,0.696,0.909,0.899
S79843,0.426,0.401,0.697,0.777
P77863,0.598,0.399,0.784,0.777
P98440,0.237,0.251,0.533,0.55
S17074,0.222,0.212,0.504,0.473
P78125,0.27,0.243,0.768,0.82
P12501,0.525,0.351,0.765,0.824
A51169,0.148,0.21,0.748,0.648
P34477,0.563,0.555,0.744,0.839
X22489,0.367,0.221,0.712,0.779
D69699,0.534,0.399,0.796,0.688
A11549,0.85,0.693,0.916,0.867
A24859,0.614,0.511,0.762,0.702
X84724,0.292,0.236,0.714,0.449
X20973,0.601,0.541,0.755,0.707
D35228,0.258,0.259,0.588,0.469
S73867,0.484,0.484,0.647,0.651
S35041,0.312,0.279,0.703,0.78
P66180,0.626,0.55,0.716,0.747
A70639,0.444,0.363,0.835,0.731
D37155,0.392,0.161,0.768,0.804
X87598,0.512,0.421,0.842,0.622
D64685,0.424,0.461,0.719,0.687
S45226,0.437,0.39,0.722,0.748
S20377,0.543,0.522,0.685,0.673
X84460,0.225,0.261,0.643,0.565
D81852,0.274,0.218,0.986,0.902
A32956,0.279,0.164,0.833,0.838
D85031,0.665,0.493,0.837,0.702
A17353,0.281,0.2,0.573,0.303
A61107,0.214,0.172,0.69,0.525
P61582,0.186,0.26,0.912,0.89
D79138,0.267,0.224,0.861,0.532
A38885,0.631,0.392,0.845,0.685
D39837,0.228,0.193,0.399,0.51
P72668,0.323,0.181,0.828,0.716
P89345,0.142,0.113,0.573,0.514
X33172,0.339,0.149,0.9,0.828
S82547,0.285,0.232,0.45,0.377
D76667,0.733,0.515,0.887,0.737
A99130,0.27,0.268,0.589,0.556
P83249,0.171,0.17,0.88,0.948
X39229,0.733,0.565,0.828,0.737
S15675,0.448,0.369,0.706,0.74
S79850,0.245,0.157,0.808,0.834
X49372,0.598,0.544,0.756,0.721
X14788,0.61,0.493,0.748,0.645
X78890,0.214,0.152,0.37,0.322
D13384,0.294,0.212,0.801,0.628
X92598,0.353,0.285,0.461,0.429
A66027,0.31,0.187,0.703,0.713
S13246,0.268,0.253,0.966,0.937
A59003,0.182,0.284,0.31,0.439
D28152,0.246,0.205,0.73,0.703
P70860,0.647,0.543,0.8,0.765
X98027,0.216,0.196,0.621,0.572
X28596,0.592,0.484,0.665,0.658
P45933,0.833,0.688,0.912,0.879
D74971,0.502,0.354,0.724,0.637
X98900,0.191,0.274,0.879,0.894
A31721,0.645,0.539,0.799,0.689
D15338,0.25,0.292,0.565,0.5
S82340,0.335,0.174,0.793,0.747
P45566,0.229,0.17,0.983,0.907
S35558,0.469,0.357,0.697,0.802
D14668,0.183,0.145,0.897,0.923
A21333,0.265,0.129,0.492,0.293
D79855,0.375,0.245,0.904,0.888
P87484,0.58,0.464,0.809,0.745
A47184,0.398,0.358,0.752,0.54
S13485,0.537,0.402,0.864,0.698
S17068,0.498,0.379,0.79,0.823
D71396,0.287,0.209,0.726,0.732
P89440,0.368,0.354,0.615,0.593
X38457,0.336,0.191,0.568,0.571
A56915,0.186,0.165,0.295,0.233
A48133,0.615,0.472,0.766,0.718
P66163,0.457,0.392,0.779,0.687
A17318,0.398,0.389,0.77,0.694
S90303,0.757,0.78,0.905,0.875
P79781,0.672,0.52,0.765,0.713
S85033,0.506,0.453,0.737,0.605
P65519,0.397,0.465,0.765,0.712
D47652,0.48,0.428,0.73,0.687
D38905,0.531,0.514,0.768,0.771
P77356,0.241,0.343,0.755,0.832
X13099,0.423,0.356,0.845,0.731
A92138,0.249,0.186,0.749,0.671
S97066,0.141,0.24,0.368,0.442
D71184,0.205,0.199,0.877,0.728
X89878,0.277,0.269,0.755,0.699
D38927,0.19,0.176,0.31,0.271
P18390,0.314,0.265,0.738,0.783
P45950,0.86,0.608,0.956,0.844
S90743,0.487,0.457,0.782,0.701
P78309,0.589,0.528,0.745,0.701
D34369,0.674,0.626,0.864,0.782
D57168,0.357,0.344,0.63,0.477
S64960,0.689,0.538,0.798,0.736
P63005,0.398,0.434,0.782,0.708
X34178,0.623,0.601,0.806,0.733
X93665,0.185,0.243,0.306,0.401
S31107,0.357,0.233,0.701,0.838
P46609,0.611,0.607,0.837,0.723
S66603,0.21,0.153,0.485,0.46
X58794,0.605,0.449,0.78,0.665
P24612,0.234,0.17,0.863,0.857
S78696,0.278,0.229,0.722,0.824
P98679,0.53,0.376,0.748,0.721
S67512,0.646,0.509,0.783,0.668
A12381,0.784,0.767,0.901,0.863
P98992,0.49,0.416,0.692,0.706
S99664,0.526,0.353,0.892,0.644
D45458,0.608,0.438,0.756,0.617
P29439,0.574,0.499,0.769,0.752
A94090,0.769,0.691,0.899,0.834
X12030,0.593,0.526,0.668,0.749
D32404,0.128,0.284,0.612,0.554
S45044,0.189,0.171,0.393,0.399
P94756,0.638,0.369,0.814,0.58
P47071,0.362,0.203,1.0,0.729
A42254,0.599,0.434,0.764,0.737
A79227,0.402,0.403,0.759,0.706
S55725,0.551,0.4,0.766,0.807
X93713,0.545,0.395,0.725,0.711
D42848,0.645,0.548,0.828,0.783
X77668,0.456,0.361,0.697,0.627
S56214,0.278,0.29,0.818,0.848
X75547,0.288,0.207,0.605,0.609
X84100,0.233,0.282,0.702,0.876
X66462,0.257,0.161,0.784,0.565
D54482,0.402,0.245,0.874,0.809
A85937,0.929,0.776,0.953,0.918
A14191,0.631,0.483,0.776,0.744
A29553,0.259,0.232,0.876,0.846
X16106,0.577,0.362,0.796,0.719
S74263,0.532,0.39,0.668,0.589
X68541,0.284,0.282,0.796,0.808
A89293,0.433,0.473,0.791,0.763
A18256,0.631,0.424,0.834,0.809
A18429,0.393,0.486,0.626,0.728
P25486,0.427,0.528,0.788,0.894
S31575,0.271,0.293,0.713,0.645
P96250,0.47,0.355,0.806,0.69
X10608,0.518,0.428,0.716,0.664
P25687,0.276,0.219,0.73,0.724
S75843,0.438,0.346,0.82,0.828
A29006,0.766,0.64,0.88,0.789
X81523,0.488,0.489,0.825,0.795
S32476,0.183,0.259,0.906,0.935
D89325,0.282,0.188,1.0,0.96
D58480,0.57,0.478,0.754,0.797
S33117,0.335,0.418,0.51,0.662
A57177,0.258,0.251,0.723,0.735
S19318,0.481,0.419,0.83,0.762
D79467,0.575,0.505,0.731,0.788
D43859,0.263,0.224,0.324,0.37
P93646,0.636,0.46,0.792,0.713
X25434,0.544,0.432,0.845,0.701
D60907,0.201,0.156,0.369,0.28
P45540,0.852,0.554,0.909,0.701
X59862,0.328,0.235,0.621,0.568
S38773,0.195,0.167,0.41,0.491
S59600,0.453,0.403,0.752,0.698
P18222,0.412,0.402,0.741,0.661
S72564,0.384,0.193,0.778,0.743
S57364,0.517,0.391,0.857,0.796
D22784,0.367,0.189,0.675,0.684
D98522,0.546,0.385,0.785,0.622
X78523,0.419,0.425,0.706,0.724
S17766,0.474,0.363,0.588,0.726
A26951,0.595,0.339,0.778,0.703
A79171,0.649,0.42,0.823,0.638
A83983,0.438,0.408,0.661,0.662
S71105,0.293,0.137,0.87,0.615
X88252,0.681,0.444,0.765,0.749
S19190,0.62,0.515,0.821,0.634
S63650,0.248,0.233,0.488,0.419
D55462,0.141,0.18,0.309,0.351
S75830,0.508,0.461,0.629,0.548
A75691,0.255,0.239,0.66,0.546
X78422,0.173,0.192,0.937,0.97
D86854,0.526,0.395,0.749,0.859
S29297,0.656,0.545,0.841,0.777
D25262,0.302,0.243,0.678,0.83
P69153,0.552,0.558,0.738,0.748
S58499,0.558,0.434,0.821,0.813
P78705,0.415,0.36,0.774,0.842
X49856,0.271,0.202,0.778,0.709
D30533,0.454,0.447,0.768,0.659
A77197,0.479,0.431,0.619,0.69
X84540,0.388,0.428,0.774,0.711
D65721,0.499,0.451,0.779,0.826
X61324,0.383,0.363,0.633,0.601
D74917,0.581,0.466,0.762,0.719
A63599,0.859,0.781,0.952,0.897
P41641,0.626,0.421,0.804,0.695
X92941,0.281,0.233,0.766,0.804
X91248,0.196,0.202,0.178,0.533
D69450,0.511,0.467,0.793,0.798
A95511,0.367,0.219,0.778,0.725
X32768,0.275,0.225,0.425,0.472
S69665,0.464,0.369,0.837,0.68
A54986,0.245,0.252,0.756,0.721
P20633,0.553,0.365,0.744,0.7
S87520,0.133,0.214,0.732,0.891
P13487,0.493,0.357,0.856,0.857
X65739,0.41,0.451,0.68,0.767
S42623,0.39,0.425,0.712,0.749
S22859,0.276,0.267,0.7,0.757
A91474,0.303,0.196,0.384,0.126
X49057,0.218,0.21,0.504,0.424
S26537,0.21,0.173,0.565,0.521
S53576,0.529,0.505,0.753,0.617
X97310,0.806,0.777,0.913,0.934
P69789,0.169,0.206,0.574,0.593
X88131,0.113,0.131,0.418,0.299
X93730,0.345,0.18,0.84,0.712
S23857,0.283,0.127,0.344,0.294
S84355,0.402,0.211,0.809,0.599
A40331,0.48,0.395,0.826,0.621
P15164,0.639,0.505,0.793,0.659
P57738,0.366,0.254,0.771,0.88
S25351,0.476,0.319,0.841,0.79
A69238,0.19,0.134,0.921,0.707
P35945,0.257,0.205,0.618,0.769
A29879,0.481,0.359,0.726,0.757
A76327,0.524,0.532,0.668,0.745
D52841,0.414,0.388,0.773,0.745
S12465,0.343,0.217,0.847,0.775
X34750,0.642,0.497,0.83,0.68
P31743,0.643,0.513,0.721,0.705
X15772,0.33,0.184,0.774,0.64
D22389,0.475,0.326,0.757,0.61
X32548,0.391,0.397,0.673,0.763
S46023,0.649,0.536,0.831,0.629
A59465,0.282,0.177,0.434,0.361
X20068,0.483,0.368,0.69,0.698
S25297,0.39,0.464,0.69,0.503
X13332,0.634,0.466,0.725,0.622
X98635,0.372,0.167,0.639,0.456
P56421,0.381,0.193,0.877,0.691
A64243,0.236,0.178,0.399,0.312
S10328,0.829,0.696,0.916,0.902
D12527,0.676,0.523,0.838,0.741
A48994,0.129,0.192,0.226,0.49
D67738,0.528,0.356,0.714,0.648
A79105,0.246,0.145,0.684,0.964
X46325,0.629,0.432,0.842,0.715
P64835,0.268,0.206,0.791,0.697
A97181,0.143,0.217,0.559,0.502
S71116,0.255,0.217,1.0,1.0
S84938,0.438,0.408,0.685,0.682
S86276,0.272,0.262,0.785,0.906
D14094,0.179,0.135,1.0,1.0
X20695,0.611,0.493,0.762,0.736
A72162,0.814,0.609,0.916,0.851
A74068,0.355,0.132,0.688,0.619
D76847,0.472,0.405,0.738,0.67
X25963,0.82,0.661,0.946,0.913
P83907,0.67,0.545,0.771,0.717
P49400,0.706,0.688,0.833,0.8
P92540,0.299,0.196,0.868,0.807
S46519,0.53,0.319,0.751,0.743
P40124,0.412,0.371,0.588,0.719
X85884,0.617,0.578,0.82,0.805
P34146,0.24,0.255,0.734,0.956
P30265,0.079,0.243,0.342,0.376
A37929,0.369,0.217,0.863,0.816
P87625,0.527,0.499,0.633,0.672
S71839,0.72,0.648,0.858,0.819
S10656,0.266,0.132,0.7,0.474
P96642,0.259,0.18,0.906,0.859
A97942,0.223,0.187,0.72,0.727
D70166,0.38,0.429,0.631,0.653
X72378,0.299,0.263,0.8,0.731
A60109,0.179,0.225,0.463,0.409
D88302,0.281,0.138,0.75,0.821
S13139,0.248,0.228,0.614,0.388
S28847,0.474,0.422,0.74,0.75
X67563,0.279,0.222,0.908,0.698
S86462,0.454,0.396,0.662,0.812
